Timestamp,Your name?,What is the name of your event?,Where will your mapping party be held?,Please insert a link to your venue on openstreetmap.org,Please insert a link where people can sign up,What date is your event taking place? (as YYYY-MM-DD),What time does your event start?,What time does your event end?,Country?,Is this is part of OSM GeoWeek 2020? (Nov 15-21),lat,long
6/2/2020 8:08:04,,Missing Maps Cambridge,Online,https://www.openstreetmap.org/relation/295355,https://www.eventbrite.co.uk/e/missing-maps-june-joint-online-mapathon-cambridge-tickets-75292079637,2020-06-02,19:00,22:00,This is an event for remote participation only [XX],,,
6/3/2020 17:33:53,Chloe Monnot,CFE Intern Mapathon,Microsoft - Online!,https://www.openstreetmap.org/,https://www.openstreetmap.org/,2020-06-23,12:00pm,2:00pm,United States of America [US],,,
6/5/2020 18:53:27,John Avola,CEM Missing Maps Mapathon,"Memphis, TN",https://www.openstreetmap.org/,https://fedex.yourcause.com/home#/newvolunteer/event/830826,2020-06-19,1pm CST,3pm CST,United States of America [US],,,
6/6/2020 11:35:50,Swarnima Sircar,Mapathon for Cyclone Amphan,Singapore,https://www.openstreetmap.org/,https://www.eventbrite.sg/e/mapathon-for-cyclone-amphan-tickets-107548717108,2020-06-07,14:00,15:00,Singapore [SG],,,
6/6/2020 14:50:38,adszinc,"Missing Maps CYCLONE AMPHAN - SAGAR ISLANDS, WEST BENGAL",Remote / Salesforce tower,https://www.openstreetmap.org/way/431972186,https://www.eventbrite.com/o/30446697364,2020-06-19,3:00 pm PST,5:00 pm PST,United States of America [US],,,
6/8/2020 9:02:53,Jana Bauerova,MSF-Missing Maps CZ SK Mid-month mapathon,online,https://www.openstreetmap.org/search?query=Prague#map=7/49.529/17.435,https://osmcal.org/event/252/,2020-06-24,18:00,19:30,Czechia [CZ],,,
6/8/2020 12:41:26,,Mapathon challenge,"Accenture, Newcastle, UK",https://www.openstreetmap.org/node/195885858#map=16/54.9684/-1.6170,https://www.accenture.com/,2020-06-15,08:00,17:00,United Kingdom of Great Britain and Northern Ireland [GB],,,
6/9/2020 14:54:36,,Missing Maps Berlin Online Mapathon,Online,https://www.openstreetmap.org, https://www.eventbrite.de/e/missing-maps-online-mapathon-tickets-108664933742,2020-06-24,19:00,22:00,Germany [DE],,,
6/10/2020 21:19:15,,SSF QSPOC Missing Maps,South San Francisco,https://www.openstreetmap.org/,https://www.eventbrite.com/e/ssf-qspoc-missing-map-tickets-109066488804,2020-06-16,11:00 AM,12:00 PM,United States of America [US],,,
6/15/2020 15:10:11,,Grainger Rangers Mapping,Online in teams,https://www.openstreetmap.org/way/282932118853/-87.63548,https://teams.microsoft.com/l/meetup-join/19%3ameeting_MTI1NmVmM2MtZWIzMi00OTAwLThhZTAtMTA2MjFlZWY3Mjk2%40thread.v2/0?context=%7b%22Tid%22%3a%2248d1dcb6-bccc-4365-ac7f-b937a7f7fd71%22%2c%22Oid%22%3a%2297628763-5aee-4fb4-af99-128d0526583e%22%7d,2020-06-25,3:30 PM CST,5:00 PM CST,United States of America [US],,,
6/16/2020 7:03:17,,Missing Maps London,Online,https://www.openstreetmap.org/relation/65606,https://www.eventbrite.co.uk/e/missing-maps-july-mapathon-tickets-109682932604,2020-07-07,19:00,22:00,United Kingdom of Great Britain and Northern Ireland [GB],,,
6/17/2020 20:52:50,,Woodbury High School Virtual Mapathon,Virtually,https://www.openstreetmap.org/,https://docs.google.com/forms/d/e/1FAIpQLScrXTlbhmIEvjZ8FyiGo3goRxN2v3mapl8orqD6x7g2KpvCZA/viewform?usp=sf_link,2020-06-28,3:00 PM CT,5:00 PM CT,United States of America [US],,,
6/19/2020 0:30:47,,Unicity Mapathon,Seoul,https://www.openstreetmap.org/,https://www.openstreetmap.org/,2020-06-25,01:00 pm (GMT+9),03:00 pm (GMT+9),"Korea, the Republic of [KR]",,,
6/19/2020 0:32:05,,Missing Maps Seoul,Seoul,https://www.openstreetmap.org,https://bit.ly/2yW77oh,2020-07-02,20:00 (GMT+9),22:00 (GMT+9),"Korea, the Republic of [KR]",,,
6/22/2020 13:04:44,,Mapatón Online MSF Spain,Online,https://www.openstreetmap.org,https://www.eventbrite.es/e/entradas-mapaton-online-medicos-sin-fronteras-109947096726,29/06/2020,"17,30","20,00",Spain [ES],,,
6/23/2020 6:44:24,,Mapping Human Rights,"HeiConf,  https://heiconf.uni-heidelberg.de/loh-py6-jxt",https://www.openstreetmap.org/way/199996322,https://www.facebook.com/events/296707448368669/,2020-06-30,18:00,21:00,Germany [DE],,,
6/26/2020 5:16:52,,Missing Maps Mapathon von Ärzte ohne Grenzen,Online,https://www.openstreetmap.org/#map=19/52.51186/13.41547,https://www.aerzte-ohne-grenzen.de/event/missing-maps-mapathon-6,2020-07-02,6.30 pm,8.30 pm,Germany [DE],,,
6/28/2020 4:04:31,,Uyo Mapathon,Uyo - on Zoom App Meeting because of COVID-19,https://maps.app.goo.gl/4YcNcJH4wKTCYSNXA,https://docs.google.com/forms/d/e/1FAIpQLSfZ9Y4W0oh97499MsAInB9qJ5ZPc7Rw0DD3SHBN3P4yXgKFWw/viewform,2020-06-04,4pm GMT+1,6pm GMT+1,Nigeria [NG],,,
6/29/2020 11:59:55,, Mapatón Cruz Roja Española. Pon en el mapa a las personas vulnerables,on line ,https://www.openstreetmap.org,https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/28126372?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=07/07/2020&_activitiesDetail_professionId=410,2020/07/07,17,19,Burundi [BI],,,
7/3/2020 4:34:59,,Missing Maps Cambridge,Online,https://www.openstreetmap.org/relation/295355,https://www.eventbrite.co.uk/e/missing-maps-july-joint-online-mapathon-cambridge-tickets-75289028511,2020-07-07,19:00,22:00,United Kingdom of Great Britain and Northern Ireland [GB],,,
7/6/2020 15:25:25,,Missing Maps HPE Prep Class 2020,Houston,https://www.openstreetmap.org/way/41366388,https://docs.google.com/forms/d/e/1FAIpQLSeL7gZD1QypC_KrOBo5XO7RKSYEwylT3RflIPoM_ycqDWDmWw/viewform?usp=sf_link,2020-07-23,8:00 AM,12:00 PM,United States of America [US],,,
7/9/2020 13:57:44,,Virtual Volunteering Medtronic - Missing Maps,Worldwide,https://medtronic.yourcause.com/home#/newvolunteer/event/834159,https://medtronic.yourcause.com/home#/newvolunteer/event/834159,2020-07-29,10:30,12:30,United States of America [US],,,
7/16/2020 11:15:47,,Missing Maps Experian Health ,virtual,https://www.openstreetmap.org/,https://experiancommunity.benevity.org/user/login?destination=%2Fvolunteer%2F3201,2020-07-24,02:30 pm,04:00 pm,United States of America [US],,,
7/17/2020 6:38:45,,Missing Maps London,Online,https://www.openstreetmap.org/,https://www.eventbrite.co.uk/e/missing-maps-august-mapathon-tickets-113081257084,2020-08-04,19:00,22:00,United Kingdom of Great Britain and Northern Ireland [GB],,,
